Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"SunDrive Copper Metallisation Demonstration",https://arena.gov.au/projects/sundrive-copper-metallisation-demonstration/,"Solar energy","The SunDrive Copper Metallisation Demonstration project aims to progress SunDrive’s copper electrochemical solar cell technology to the next stage of commercialisation.
",$3m,$9m,"SunDrive Solar (SunDrive)","Advancing Renewables Program",23/03/2020,"New South Wales, Wollongong",None,Past
"APA Renewable Methane Demonstration Project",https://arena.gov.au/projects/apa-renewable-methane-demonstration-project/,"Hydrogen energy","APA Group (APA) will build a modular renewable methane production demonstration plant at their Wallumbilla Gas hub near Roma in Queensland.
",$1.1m,$2.26m,"APT Facility Management","Advancing Renewables Program",20/03/2020,"Queensland, Roma","Southern Green Gas ",Past
"Reactive Technologies - System Inertia Measurement Demonstration",https://arena.gov.au/projects/reactive-technologies-system-inertia-measurement-demonstration/,"System security and reliability","Reactive Technologies will demonstrate and measure its inertia measurement technology (Grid-Sonar™) on the Australian power system.
",$1.43m,$3.07m,"Reactive Technologies","Advancing Renewables Program",17/03/2020,"Moorabool, Victoria","Australian Energy Market Operator (AEMO), Neoen, Department of Environment, Land, Water and Planning (Victorian Government), Melbourne Energy Institute",Past
"The Hazer Process: Commercial Demonstration Plant",https://arena.gov.au/projects/the-hazer-process-commercial-demonstration-plant/,"Hydrogen energy","The Hazer Commercial Demonstration Plant will demonstrate Hazer’s proprietary hydrogen production technology, which converts biogas from sewage treatment into hydrogen and graphite.
",$9.41m,$22.57m,"Hazer Group","Advancing Renewables Program",13/03/2020,"Munster, Western Australia",None,Current
"Stanwell Hydrogen Electrolysis Deployment Feasibility Study",https://arena.gov.au/projects/stanwell-hydrogen-electrolysis-deployment-feasibility-study/,"Hydrogen energy","Stanwell is investigating the feasibility of a large (10 MW or bigger) hydrogen electrolysis demonstration plant at Stanwell Power Station, near Rockhampton in Queensland.
",$913k,$3.65m,"Stanwell Corporation Limited","Advancing Renewables Program",13/03/2020,"Queensland, Rockhampton","Advisian, Deloitte Financial Advisory",Past
"Industry ETI Establishment Phase",https://arena.gov.au/projects/industry-eti-establishment-phase/,"Renewables for industry","The project aims to design and establish the foundations for the Australian Industry Energy Transitions Initiative (ETI), which supports Australian industry to develop pathways and actions to help critical supply chains reduce their emissions .
",$300k,$794k,"Monash University (ClimateWorks Australia)","Advancing Renewables Program",06/03/2020,"Melbourne, Victoria","Climate-KIC Australia Ltd, Rocky Mountain Institute, CSIRO Energy Transitions Commission",Past
"Renewable Energy for Process Heat Opportunity Study",https://arena.gov.au/projects/renewable-energy-for-process-heat-opportunity-study/,"Bioenergy / Energy from waste","This Renewable Energy for Process Heat Opportunity Study aims to accelerate the adoption of renewable energy in industrial and commercial process heating.
",$473k,$949k,"Australian Alliance for Energy Productivity Limited and Climate-KIC Australia Limited","Advancing Renewables Program",09/02/2020,"New South Wales, South Australia, Tasmania, Victoria","Sustainability Victoria, Office of Environment and Heritage NSW",Past
"Yara Pilbara Renewable Ammonia Feasibility Study",https://arena.gov.au/projects/yara-pilbara-renewable-ammonia-feasibility-study/,"Hydrogen energy","The Yara Pilbara Renewable Ammonia Feasibility Study is for a demonstration-scale renewable hydrogen and renewable ammonia production and export facility on the Burrup Peninsula, Western Australia.
",$944k,$3.64m,"Yara Pilbara Fertilisers Pty Ltd","Advancing Renewables Program",24/01/2020,"Murujuga, Western Australia","Engie Services Australia",Past
"TransGrid New England Renewable Energy Zone",https://arena.gov.au/projects/transgrid-new-england-renewable-energy-zone/,"Solar energy","TransGrid Services (TGS) will assess the feasibility of developing a New England Energy Zone in New South Wales (NSW). This project will focus on identifying a new commercial model to encourage transmission infrastructure development and connect new renewable energy projects in NSW.
",$995k,$3.44m,"TransGrid Services Pty Limited (TGS)","Advancing Renewables Program",17/01/2020,"New England, New South Wales",None,Past
"Renewable Energy Hub Marketplace",https://arena.gov.au/projects/renewable-energy-hub-marketplace/,"Renewables for industry","The Renewable Energy Hub Marketplace project will develop new hedge contracts designed for clean energy technologies and host them on a digital firming marketplace.
",$845k,$1.72m,"Renewable Energy Hub","Advancing Renewables Program",16/01/2020,"Melbourne, Victoria","Marchment Hill Consulting Pty Ltd",Past
"Short Term Off-River Energy Storage Stage 2 (STORES 2)",https://arena.gov.au/projects/short-term-off-river-energy-storage-stage-2-stores-2/,"Hydropower / Pumped Hydro Energy Storage","The Australian National University (ANU) will produce a comprehensive atlas of potential pumped hydro energy storage (PHES) development sites in Australia to increase variable wind and solar generation.
",$308k,$840k,"The Australian National University","Advancing Renewables Program",14/01/2020,"Australian Capital Territory",None,Past
"Renewable Energy for Process Heat Opportunity Study Phase 2",https://arena.gov.au/projects/renewable-energy-for-process-heat-opportunity-study-phase-2/,"Renewables for industry","The Renewable Energy for Process Heat Opportunity Study Phase 2 aims to accelerate the adoption of renewable energy in industrial and commercial process heating. This project builds upon previous work funded by ARENA under the Renewable Energy for Process Heat Opportunity Study.
",$482k,$879k,"Australian Alliance for Energy Productivity Limited ","Advancing Renewables Program",01/01/2020,"New South Wales","Climate-KIC Australia Limited, Sustainability Victoria, Department of Planning, Industry and Environment (NSW)",Past
"Solar Power Plant Phase 1",https://arena.gov.au/projects/solar-power-plant-phase-1/,"Concentrated solar thermal","The Solar Power Plant Phase 1 project aims to develop and commercialise a utility-scale solar and storage technology in Australia.
",$3m,$6m,"Raygen Resources Pty Ltd","Advancing Renewables Program",01/01/2020,"Blackburn, Victoria","GHD Pty Ltd, AGL Energy Services Pty Ltd",Past
"Australian Hydrogen Centre",https://arena.gov.au/projects/australian-hydrogen-centre/,"Hydrogen energy","The Australian Hydrogen Centre will assess the feasibility of blending renewable hydrogen into gas distribution networks in Victoria and South Australia.
",$1.28m,$4.15m,"Australian Gas Networks Limited","Advancing Renewables Program",23/12/2019,"South Australia, Victoria","Department for Energy and Mining, Department of Environment, Land, Water and Planning, AusNet Services, Engie Energy Services, Neoen Australia  ",Past
"Energy Freedom Solar Electric Vehicle Pilot",https://arena.gov.au/projects/energy-freedom-solar-electric-vehicle-pilot/,"Electric vehicles","The Energy Freedom Solar Electric Vehicle Pilot developed by Applied Electric Vehicles Pty Ltd (AEV) will produce a lightweight, energy efficient, autonomous electric vehicle (EV) that will incorporate a solar photovoltaic (PV) roof and lithium-ion battery system.
",$2m,$7.65m,"Applied Electric Vehicles (AEV)","Advancing Renewables Program",20/12/2019,"Bayswater North, Victoria",None,Past
"Allume Rooftop Solar Salvation Army Pilot Demonstration",https://arena.gov.au/projects/allume-rooftop-solar-salvation-army-pilot-demonstration/,"Solar energy","Allume Energy will further develop the ‘SolShare’ to enable The Salvation Army (TSA) to on-sell excess solar energy to other, separately metered tenancies in their building.
",$220k,$1.03m,"Allume Energy Pty Ltd","Advancing Renewables Program",20/12/2019,Tasmania,"Green Peak Energy Pty Ltd, I Want Energy Pty Ltd, Improv Pty Ltd",Past
"Advancing Renewables in the Manufacturing Sector",https://arena.gov.au/projects/advancing-renewables-in-the-manufacturing-sector/,"Renewables for industry","The Advancing Renewables Manufacturing Sector project will help Queensland manufacturers improve their energy productivity, reduce emissions and drive sector improvements through energy assessments, a web-based portal, knowledge sharing and public forums.
",$250k,$600k,"Shell Energy","Advancing Renewables Program",20/12/2019,"Brisbane, Queensland","Queensland Department of State Development, Manufacturing, Infrastructure and Planning The Australian Industry Group",Past
"Rheem Active Hot Water Control",https://arena.gov.au/projects/rheem-active-hot-water-control/,"Distributed energy resources","The Rheem Active Hot Water Control project aims to demonstrate active control over residential hot water systems in South Australia.
",$734k,$3.7m,"Rheem Australia","Advancing Renewables Program",20/12/2019,"South Australia","Combined Energy Technologies, Marchment Hill Consulting, SA Power Networks, Simply Energy ",Past
"Hornsdale Power Reserve Upgrade",https://arena.gov.au/projects/hornsdale-power-reserve-upgrade/,"Battery storage","The Hornsdale Power Reserve Upgrade project involves a 50 MW / 64.5 MWh expansion of the Hornsdale Power Reserve, showcasing the additional benefits grid-scale batteries can provide to the National Electricity Market and Australian consumers.
",$8m,$71m,"Neoen Australia","Advancing Renewables Program",19/12/2019,"Hornsdale, South Australia",Tesla,Current
"Frasers Property Net Zero Energy Demand Homes",https://arena.gov.au/projects/net-zero-energy-demand-homes/,"Distributed energy resources","Frasers Property Australia will build 51 medium density energy efficient homes to demonstrate the feasibility of achieving zero energy demand homes at scale.
",$708k,$1.41m,"Frasers Property Australia","Advancing Renewables Program",18/12/2019,"Liverpool, New South Wales",None,Past
"Clean Energy Startup Support Programs",https://arena.gov.au/projects/clean-energy-startup-support-programs/,"Renewables for industry","The Clean Energy Startup Support Programs project will launch four programs designed to accelerate the progress of entrepreneurs deploying renewable energy and complementary technologies.
",$480k,$1.19m,"EnergyLab Australia ","Advancing Renewables Program",16/12/2019,"New South Wales, Queensland, Victoria","Origin Energy Retail, Powerlink, AusNet Services, University of Technology Sydney, Clean Energy Finance Corporation",Past
